MOVIES NAME,RATINGS,GENRE,PLOT,release_year,POSTER_URL,DIRECTOR,STARS,MOVIES_ID
The Dark Knight.mp4,9.0,"Action,Crime,Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",44
The Godfather.mp4,9.2,"Crime,Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,1972,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTRmNjQ1ZDYtNDgzMy00OGE0LWE4N2YtNTkzNWQ5ZDhlNGJmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR3,0,182,268_AL_.jpg",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",45
The Hangover.mp4,7.8,Comedy,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",2009,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1MDA1MTYwMF5BMl5BanBnXkFtZTcwMDcxMzA1Mg@@._V1_UX182_CR0,0,182,268_AL_.jpg",Todd Phillips,"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms",46
The Jungle Book.mp4,7.5,"Adventure,Drama,Family","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",2016,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NTUzNTI4MV5BMl5BanBnXkFtZTgwNjU0NjU5NzE@._V1_UX182_CR0,0,182,268_AL_.jpg",Jon Favreau,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",47
The Lion King.mp4,8.5,"Animation,Adventure,Drama",Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.,1994,"https://images-na.ssl-images-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UX182_CR0,0,182,268_AL_.jpg","Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg",48
The Lost City of Z.mp4,6.6,"Adventure,Biography,Drama","A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared while searching for a mysterious city in the Amazon in the 1920s.",2016,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQzNTk3MTkyNF5BMl5BanBnXkFtZTgwMDA2MDQzMTI@._V1_UX182_CR0,0,182,268_AL_.jpg",James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland",49
The Magnificent Seven.mp4,6.9,"Action,Adventure,Western",Seven gunmen in the old west gradually come together to help a poor village against savage thieves.,2016,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNTc0NTAyM15BMl5BanBnXkFtZTgwMTk1ODA5OTE@._V1_UX182_CR0,0,182,268_AL_.jpg",Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio",50
The Martian.mp4,8.0,"Adventure,Drama,Sci-Fi","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",2015,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_UX182_CR0,0,182,268_AL_.jpg",Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",51
The Matrix.mp4,8.7,"Action,Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,1999,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg","Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",52
The Prestige.mp4,8.5,"Drama,Mystery,Sci-Fi",After a tragic accident two stage magicians engage in a battle to create the ultimate illusion whilst sacrificing everything they have to outwit the other.,2006,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UX182_CR0,0,182,268_AL_.jpg",Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine",53
X-Men Apocalypse.mp4,7.0,"Action,Adventure,Sci-Fi","After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",2016,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjU1ODM1MzYxN15BMl5BanBnXkFtZTgwOTA4NDE2ODE@._V1_UX182_CR0,0,182,268_AL_.jpg",Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",54
Zootopia.mp4,8.0,"Animation,Adventure,Comedy","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",2016,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_UX182_CR0,0,182,268_AL_.jpg","Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",55
